City,desktop,mobile,tablet,Total,Per_Desk,Per_Mobile,Per_Tablet
Durham,1470,1572,840,3882,0.378670788253478,0.404945904173107,0.216383307573416
Charlotte,19,785,83,887,0.0214205186020293,0.885005636978579,0.0935738444193912
Raleigh,130,430,102,662,0.196374622356495,0.649546827794562,0.154078549848943
Atlanta,18,277,15,310,0.0580645161290323,0.893548387096774,0.0483870967741935
Franklin,97,120,62,279,0.347670250896057,0.43010752688172,0.222222222222222
Cary,84,49,18,151,0.556291390728477,0.324503311258278,0.119205298013245
Chapel Hill,61,56,20,137,0.445255474452555,0.408759124087591,0.145985401459854
Mebane,36,40,18,94,0.382978723404255,0.425531914893617,0.191489361702128
Winston-Salem,37,41,12,90,0.411111111111111,0.455555555555556,0.133333333333333
Greensboro,34,40,7,81,0.419753086419753,0.493827160493827,0.0864197530864197
Hillsborough,44,14,17,75,0.586666666666667,0.186666666666667,0.226666666666667
New York,11,53,6,70,0.157142857142857,0.757142857142857,0.0857142857142857
Creedmoor,38,16,15,69,0.550724637681159,0.231884057971014,0.217391304347826
Wake Forest,12,21,35,68,0.176470588235294,0.308823529411765,0.514705882352941
Norfolk,3,37,11,51,0.0588235294117647,0.725490196078431,0.215686274509804
Sylva,29,14,5,48,0.604166666666667,0.291666666666667,0.104166666666667
Virginia Beach,0,43,3,46,0,0.934782608695652,0.0652173913043478
Washington,4,29,12,45,0.0888888888888889,0.644444444444444,0.266666666666667
Philadelphia,27,10,0,37,0.72972972972973,0.27027027027027,0
Knightdale,19,15,0,34,0.558823529411765,0.441176470588235,0
Miami,0,33,0,33,0,1,0
Oxford,3,24,1,28,0.107142857142857,0.857142857142857,0.0357142857142857
Clayton,8,9,9,26,0.307692307692308,0.346153846153846,0.346153846153846
Henderson,6,16,3,25,0.24,0.64,0.12
North Druid Hills,4,21,0,25,0.16,0.84,0
Chicago,12,11,0,23,0.521739130434783,0.478260869565217,0
Fayetteville,3,19,1,23,0.130434782608696,0.826086956521739,0.0434782608695652
High Point,5,5,12,22,0.227272727272727,0.227272727272727,0.545454545454545
Orlando,0,21,1,22,0,0.954545454545455,0.0454545454545455
Columbia,7,7,6,20,0.35,0.35,0.3
Blythewood,0,17,2,19,0,0.894736842105263,0.105263157894737
Friendly,0,5,14,19,0,0.263157894736842,0.736842105263158
Dallas,1,17,0,18,0.0555555555555556,0.944444444444444,0
Birmingham,0,17,0,17,0,1,0
Burlington,6,10,1,17,0.352941176470588,0.588235294117647,0.0588235294117647
Myrtle Beach,1,12,4,17,0.0588235294117647,0.705882352941177,0.235294117647059
Williamston,14,3,0,17,0.823529411764706,0.176470588235294,0
Charlottesville,11,5,0,16,0.6875,0.3125,0
Greenville,8,8,0,16,0.5,0.5,0
Wendell,16,0,0,16,1,0,0
Cincinnati,1,11,3,15,0.0666666666666667,0.733333333333333,0.2
Newburgh,0,0,15,15,0,0,1
Corona,3,11,0,14,0.214285714285714,0.785714285714286,0
Hyattsville,14,0,0,14,1,0,0
Nashville,1,11,2,14,0.0714285714285714,0.785714285714286,0.142857142857143
Pittsburgh,1,13,0,14,0.0714285714285714,0.928571428571429,0
Wilmington,7,5,2,14,0.5,0.357142857142857,0.142857142857143
Carrboro,12,1,0,13,0.923076923076923,0.0769230769230769,0
Roxboro,1,7,5,13,0.0769230769230769,0.538461538461538,0.384615384615385
Columbus,6,6,0,12,0.5,0.5,0
Graham,0,11,1,12,0,0.916666666666667,0.0833333333333333
Jacksonville,4,6,2,12,0.333333333333333,0.5,0.166666666666667
Rocky Mount,4,8,0,12,0.333333333333333,0.666666666666667,0
Whiteville,1,9,2,12,0.0833333333333333,0.75,0.166666666666667
Marietta,9,2,0,11,0.818181818181818,0.181818181818182,0
Seattle,0,11,0,11,0,1,0
Apex,4,4,2,10,0.4,0.4,0.2
Cashiers,7,1,2,10,0.7,0.1,0.2
Houston,1,8,1,10,0.1,0.8,0.1
Tysons,0,9,1,10,0,0.9,0.1
Andrews,9,0,0,9,1,0,0
Black Mountain,9,0,0,9,1,0,0
Garner,1,8,0,9,0.111111111111111,0.888888888888889,0
Hampton,4,4,1,9,0.444444444444444,0.444444444444444,0.111111111111111
Ashburn,8,0,0,8,1,0,0
Carrollton,2,6,0,8,0.25,0.75,0
Fearrington,2,3,3,8,0.25,0.375,0.375
Kernersville,0,3,5,8,0,0.375,0.625
Morrisville,8,0,0,8,1,0,0
Roanoke Rapids,3,3,2,8,0.375,0.375,0.25
